codigo_predial,manzent,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
151600051900018,13132011003028,305632,V1313210003,ALONSO DE CORDOVA,AVENIDA,1,4,"[-70.59800826513191, -33.401151715705694]","POLYGON((-70.59800826513191 -33.401151715705694, -70.59773645940845 -33.40122258411428, -70.59764072070972 -33.400964257120485, -70.59791252572393 -33.400893388940496, -70.59800826513191 -33.401151715705694))"
151600052100005,13132011003024,305632,V1313210003,ALONSO DE CORDOVA,AVENIDA,1,4,"[-70.596942534508, -33.40111737110421]","POLYGON((-70.596942534508 -33.40111737110421, -70.59705343463946 -33.40109051156053, -70.59714291016158 -33.401350413423344, -70.59703200973408 -33.40137727305493, -70.596942534508 -33.40111737110421))"
151600052100006,13132011003024,305632,V1313210003,ALONSO DE CORDOVA,AVENIDA,2,4,"[-70.59705343463946, -33.40109051156053]","POLYGON((-70.59705343463946 -33.40109051156053, -70.59713917555781 -33.4010695672407, -70.59722935913813 -33.40132929686606, -70.59714361799146 -33.401350241254335, -70.59705343463946 -33.40109051156053))"
151600052100007,13132011003024,305632,V1313210003,ALONSO DE CORDOVA,AVENIDA,2,4,"[-70.59713917555781, -33.4010695672407]","POLYGON((-70.59713917555781 -33.4010695672407, -70.5973296080481 -33.40102328595405, -70.5974193687681 -33.401283118583045, -70.59722893576995 -33.4013294000211, -70.59713917555781 -33.4010695672407))"
151600052100009,13132011003024,305632,V1313210003,ALONSO DE CORDOVA,AVENIDA,2,5,"[-70.5973296080481, -33.40102328595405]","POLYGON((-70.5973296080481 -33.40102328595405, -70.59752278239262 -33.40097408318056, -70.59761649827925 -33.40123293149925, -70.59742332342681 -33.401282134432215, -70.5973296080481 -33.40102328595405))"
151600052100021,13132011003024,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,4,5,"[-70.59699965865899, -33.4003022737258]","POLYGON((-70.59699965865899 -33.4003022737258, -70.59677521249354 -33.40035819106556, -70.59668338123353 -33.40009886809374, -70.5969078268048 -33.400042950936005, -70.59699965865899 -33.4003022737258))"
151600052100022,13132011003024,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,3,4,"[-70.5970846480134, -33.40028142931304]","POLYGON((-70.5970846480134 -33.40028142931304, -70.5970006409581 -33.40030307273713, -70.59690594136072 -33.400044476577946, -70.59698994819594 -33.40002283322385, -70.5970846480134 -33.40028142931304))"
151600052100023,13132011003024,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,3,4,"[-70.59717851976902, -33.400258306068984]","POLYGON((-70.59717851976902 -33.400258306068984, -70.59708552116862 -33.40028213954474, -70.59699127886707 -33.400023425893245, -70.59708427722342 -33.39999959249463, -70.59717851976902 -33.400258306068984))"
151600052300003,13132011003023,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,3,6,"[-70.59646237378878, -33.40031947005626]","POLYGON((-70.59646237378878 -33.40031947005626, -70.59658749069067 -33.40028809915281, -70.59667986379448 -33.400547286751305, -70.596554746562 -33.40057865775673, -70.59646237378878 -33.40031947005626))"
151600052300004,13132011003023,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,4,4,"[-70.59658845979108, -33.4002881768648]","POLYGON((-70.59658845979108 -33.4002881768648, -70.59669668318496 -33.4002619833903, -70.59678610105962 -33.400521899072345, -70.59667787737679 -33.4005480926326, -70.59658845979108 -33.4002881768648))"
151600052300005,13132011003023,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,1,4,"[-70.59669668318496, -33.4002619833903]","POLYGON((-70.59669668318496 -33.4002619833903, -70.59679322920081 -33.40023810454462, -70.59688444987948 -33.40049757910266, -70.59678790360748 -33.400521458026176, -70.59669668318496 -33.4002619833903))"
151600052300006,13132011003023,308218,V1313210448,PEDRO DE VILLAGRA,CALLE,2,4,"[-70.59679322920081, -33.40023810454462]","POLYGON((-70.59679322920081 -33.40023810454462, -70.5969612713042 -33.40019635069, -70.59705287906601 -33.400455729263804, -70.5968848365174 -33.40049748325441, -70.59679322920081 -33.40023810454462))"
151600052300023,13132011003023,308136,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59608504805627, -33.399564794858215]","POLYGON((-70.59608504805627 -33.399564794858215, -70.59596523907003 -33.39959239941173, -70.59587981041415 -33.39933154155002, -70.59599961907622 -33.39930393708774, -70.59608504805627 -33.399564794858215))"
151600052300024,13132011003023,308136,V1313210426,O'BRIEN,CALLE,3,4,"[-70.5963452402488, -33.39950580348789]","POLYGON((-70.5963452402488 -33.39950580348789, -70.59608602868992 -33.3995655037145, -70.59600063134751 -33.39930463865596, -70.59625984220492 -33.39924493862671, -70.5963452402488 -33.39950580348789))"
151600052300025,13132011003023,308136,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59653037761903, -33.39946410080834]","POLYGON((-70.59653037761903 -33.39946410080834, -70.59634622253287 -33.39950660250493, -70.59626066032118 -33.39924577549323, -70.59644481490925 -33.39920327393707, -70.59653037761903 -33.39946410080834))"
151600052300026,13132011003023,308136,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59685310121793, -33.39939095639801]","POLYGON((-70.59685310121793 -33.39939095639801, -70.59653125076144 -33.399464811044375, -70.59644614547686 -33.399203878905666, -70.59676799506157 -33.399130024503634, -70.59685310121793 -33.39939095639801))"
151600052300027,13132011003023,308136,V1313210426,O'BRIEN,CALLE,4,5,"[-70.59697387705378, -33.39936333854895]","POLYGON((-70.59697387705378 -33.39936333854895, -70.59685397436212 -33.39939166663175, -70.59676653322379 -33.399131278462775, -70.59688643559316 -33.39910295047316, -70.59697387705378 -33.39936333854895))"
151600052300028,13132011003023,308136,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59714637906637, -33.399324503131055]","POLYGON((-70.59714637906637 -33.399324503131055, -70.59697464270522 -33.39936405016554, -70.59688925842225 -33.39910318222163, -70.59706099431867 -33.39906363531789, -70.59714637906637 -33.399324503131055))"
151600052300028,13132011003023,309104,V1313210652,PASAJE O'BRIEN,PASAJE,4,4,"[-70.59721791853717, -33.39955580608234]","POLYGON((-70.59721791853717 -33.39955580608234, -70.59714637906637 -33.399324503131055, -70.59745856279793 -33.39925657208997, -70.59753010302536 -33.39948787484068, -70.59721791853717 -33.39955580608234))"
151600052300029,13132011003023,309104,V1313210652,PASAJE O'BRIEN,PASAJE,2,5,"[-70.59724919423249, -33.399555132861146]","POLYGON((-70.59724919423249 -33.399555132861146, -70.59721793338686 -33.39955661754775, -70.59719970087856 -33.39928652982118, -70.59723096162813 -33.39928504514198, -70.59724919423249 -33.399555132861146))"
151600052500006,13132011003021,309086,V1313210644,O'BRIEN,PASAJE,2,4,"[-70.59416553186071, -33.39984848444437]","POLYGON((-70.59416553186071 -33.39984848444437, -70.59431041969783 -33.399816410853404, -70.59439272162976 -33.4000779752165, -70.59424783339665 -33.40011004891429, -70.59416553186071 -33.39984848444437))"
151600052500006,13132011003021,308144,V1313210426,O'BRIEN,CALLE,2,4,"[-70.59416553186071, -33.39984848444437]","POLYGON((-70.59416553186071 -33.39984848444437, -70.59431041969783 -33.399816410853404, -70.59439272162976 -33.4000779752165, -70.59424783339665 -33.40011004891429, -70.59416553186071 -33.39984848444437))"
151600052500006,13132011003021,308147,V1313210426,O'BRIEN,CALLE,2,4,"[-70.59416553186071, -33.39984848444437]","POLYGON((-70.59416553186071 -33.39984848444437, -70.59431041969783 -33.399816410853404, -70.59439272162976 -33.4000779752165, -70.59424783339665 -33.40011004891429, -70.59416553186071 -33.39984848444437))"
151600052500006,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,3,4,"[-70.59412880442973, -33.39970962192952]","POLYGON((-70.59412880442973 -33.39970962192952, -70.59416553186071 -33.39984848444437, -70.59385066636975 -33.399907073264224, -70.59381393940733 -33.39976821064326, -70.59412880442973 -33.39970962192952))"
151600052500008,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,3,4,"[-70.59410384840132, -33.39961479836097]","POLYGON((-70.59410384840132 -33.39961479836097, -70.59412975870126 -33.39970888819434, -70.59381551255187 -33.39976976966528, -70.59378960256717 -33.39967567975763, -70.59410384840132 -33.39961479836097))"
151600052500010,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,3,4,"[-70.59407795014526, -33.3995154776861]","POLYGON((-70.59407795014526 -33.3995154776861, -70.59410469517819 -33.399614066007274, -70.59379021400748 -33.399674086379605, -70.59376346930577 -33.399575497981544, -70.59407795014526 -33.3995154776861))"
151600052500012,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,1,4,"[-70.59405200209315, -33.39941931408749]","POLYGON((-70.59405200209315 -33.39941931408749, -70.59407879692144 -33.39951474533257, -70.59376486607569 -33.39957675820199, -70.59373807156598 -33.39948132688038, -70.59405200209315 -33.39941931408749))"
151600052500012,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,2,4,"[-70.59419145860048, -33.39938424417242]","POLYGON((-70.59419145860048 -33.39938424417242, -70.59405200209315 -33.39941931408749, -70.59395938053792 -33.39916018887853, -70.59409883667713 -33.3991251190774, -70.59419145860048 -33.39938424417242))"
151600052500019,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,1,4,"[-70.59439620270088, -33.399444651688]","POLYGON((-70.59439620270088 -33.399444651688, -70.59436666136077 -33.39934014721724, -70.59468047889582 -33.399277735411026, -70.59471002058436 -33.39938223979752, -70.59439620270088 -33.399444651688))"
151600052500019,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,4,4,"[-70.59436666136077, -33.39934014721724]","POLYGON((-70.59436666136077 -33.39934014721724, -70.59419145860048 -33.39938424417242, -70.59409876441501 -33.39912513725732, -70.5942739667129 -33.39908104044536, -70.59436666136077 -33.39934014721724))"
151600052500021,13132011003021,309084,V1313210644,O'BRIEN,PASAJE,1,4,"[-70.5944248018126, -33.399544659052815]","POLYGON((-70.5944248018126 -33.399544659052815, -70.59439620270088 -33.399444651688, -70.59470982527895 -33.39938155289621, -70.59473842472335 -33.39948156017963, -70.5944248018126 -33.399544659052815))"
